Year,Position,Name,ALRAS,RAS
2018,QB,Troy Cook,5.18,5.22
1992,QB,Matt Blundin,2.88,5.21
2019,QB,David Pindell,5.2,5.2
2018,QB,Dalton Sturm,5.25,5.19
2006,QB,Darrell Hackney,4.15,5.17
2018,QB,Kent Myers,5.12,5.17
1997,QB,Jason Martin,1.99,5.16
2016,QB,Chuckie Keeton,5.27,5.16
2015,QB,Jordan Yantz,5.04,5.12
2018,QB,Larry Brihm Jr.,5.13,5.12
2018,QB,DeVante Kincade,5.07,5.11
2013,QB,Brad Sorensen,4.67,5.1
1990,QB,Mike Johnson,2.04,5.09
1997,QB,Mike Cherry,1.88,5.09
2018,QB,Gerrit Groenewold,5.08,5.09
2017,QB,Samuel Caron,5.26,5.08
2008,QB,Chad Henne,4.43,5.06
1999,QB,Michael Bishop,2.73,5.05
2019,QB,Hayden Moore,5.03,5.03
2012,QB,Brandon Weeden,4.75,5.02
1995,QB,Jay Barker,2.23,5
2006,QB,Brodie Croyle,3.84,5
2014,QB,Jimmy Garoppolo,4.8,5
2017,QB,Deshone Kizer,4.97,4.98
2013,QB,Nathan Stanley,4.51,4.97
2016,QB,Mike Bercovici,4.87,4.95
2017,QB,Jordan West,4.99,4.95
1990,QB,Tommy Hodson,2.19,4.91
2013,QB,Ross Dausin,4.65,4.9
2017,QB,Tyler O’Connor,4.95,4.89
2001,QB,Jonathan Beasley,2.96,4.87
2000,QB,Bill Burke,2.15,4.86
1999,QB,Ted White,2.34,4.85
2016,QB,Jake Rudock,4.78,4.84
2017,QB,Steve Cluley,4.96,4.84
2019,QB,K.J. Carta-Samuels,4.84,4.84
2013,QB,Dayne Crist,4.6,4.82
2012,QB,Ryan Lindley,4.38,4.81
1988,QB,Todd Santos,1.26,4.8
2009,QB,Drew Willy,3.93,4.8
2014,QB,Tajh Boyd,4.54,4.78
1996,QB,Grady Benton,2.21,4.76
2017,QB,Ronald Butler,4.8,4.76
1990,QB,Scott Erney,2.01,4.74
2003,QB,Dave Ragone,3.32,4.74
2017,QB,Matt Johns,4.86,4.73
2018,QB,Baker Mayfield,4.69,4.73
1999,QB,Jason Maas,2.02,4.69
2010,QB,Max Hall,4.18,4.67
2009,QB,Curtis Painter,3.85,4.66
2019,QB,Chayce Crouch,4.66,4.66
2001,QB,Josh Booty,2.41,4.65
2018,QB,Tyler Bruggman,4.75,4.65
1994,QB,Clint Dolezel,2.54,4.63
2011,QB,Ryan Colburn,4.52,4.63
1987,QB,Bill Ransdell,1.84,4.62
2000,QB,Joe Hamilton,2.85,4.62
2004,QB,Matt Schaub,3.24,4.62
2016,QB,Brandon Allen,4.61,4.6
2002,QB,David Neill,2.41,4.58
2007,QB,Jordan Palmer,3.41,4.58
2018,QB,Max Browne,4.49,4.55
2014,QB,Dustin Vaughan,4.21,4.53
2016,QB,Jacoby Brissett,4.48,4.52
2010,QB,Thad Lewis,3.68,4.51
2013,QB,Jake Mullin,4.24,4.51
2012,QB,Patrick Witt,4.32,4.49
2011,QB,T.J. Yates,4.04,4.48
2017,QB,Malcolm Bell,4.64,4.48
1999,QB,Brian Kuklick,1.78,4.44
2009,QB,Chase Daniel,3.55,4.44
2013,QB,Seth Doege,4.22,4.43
2005,QB,Dan Orlovsky,3.14,4.4
2011,QB,Andy Dalton,3.92,4.38
2012,QB,Stephen Garcia,4.06,4.38
2009,QB,Brian Hoyer,3.59,4.36
2012,QB,Nick Foles,4,4.35
2017,QB,Jack Nelson,4.43,4.35
2018,QB,Zach Greenlee,4.35,4.33
1991,QB,Jeff Bridewell,1.47,4.32
2019,QB,Kyle Shurmur,4.27,4.27
1989,QB,Mike Elkins,1.71,4.25
2015,QB,Jameis Winston,4.04,4.24
2016,QB,Scott Tolzien,4.28,4.23
2017,QB,Kenneth Coleman,4.23,4.23
2018,QB,Austin Allen,4.3,4.23
1991,QB,Dan Enos,2.21,4.19
2006,QB,Paul Pinegar,3.09,4.17
1996,QB,James Richey,1.5,4.15
2010,QB,Rusty Smith,3.62,4.14
2018,QB,Darell Garretson,4.19,4.14
1997,QB,Marcus Crandell,2.5,4.1
2016,QB,Cody Kessler,4.05,4.1
2017,QB,Zach Kline,4.31,4.08
2012,QB,Kirk Cousins,3.71,4.07
2018,QB,Mason Rudolph,4.01,4.06
1988,QB,Matthew Knizner,1.48,4
2012,QB,Billy Greene,3.75,3.98
2017,QB,Chad Voytik,4.1,3.98
2017,QB,KD Humphries,4.11,3.97
2019,QB,Kyle Kempt,3.97,3.97
2007,QB,Zac Taylor,2.84,3.96
2013,QB,Tyler Wilson,3.7,3.95
1991,QB,Paul Justin,1.52,3.92
2018,QB,Brandon Harris,3.95,3.91
2019,QB,Tanner Mangum,3.91,3.91
2013,QB,Tyler Bray,3.72,3.9
2018,QB,Chase Litton,3.88,3.9
2018,QB,Matthew Alviti,3.87,3.88
2018,QB,Mlik Zaire,3.83,3.86
1987,QB,Doug Hudson,1.85,3.85
2012,QB,Alex Tanney,3.66,3.84
2004,QB,Jeff Smoker,2.7,3.82
2017,QB,Alek Torgersen,3.82,3.77
2008,QB,Anthony Morelli,2.86,3.76
2018,QB,Nic Shimonek,3.74,3.76
1989,QB,James Harvey,1.54,3.75
1996,QB,Mike Groh,2.28,3.74
2008,QB,John David Booty,3.1,3.73
2017,QB,Ryan Higgins,3.79,3.71
1990,QB,John Gromos,1.68,3.68
2010,QB,Sean Canfield,3.05,3.67
2013,QB,Matt Barkley,3.5,3.67
2019,QB,T.J. Linta,3.65,3.65
2008,QB,Erik Ainge,2.79,3.61
1988,QB,Danny Mcmanus,1.33,3.6
2009,QB,Cullen Harper,2.94,3.6
2015,QB,Andrew Buckley,3.61,3.58
2005,QB,Kyle Orton,2.33,3.55
1991,QB,Chris Cochrane,1.28,3.51
